Building Name,Building Address,address_info,latitude,longitude
MINISTRY OF MANPOWER BUILDING,"18 HAVELOCK ROAD, SINGAPORE 059764","[{'address_components': [{'long_name': '18', 'short_name': '18', 'types': ['street_number']}, {'long_name': 'Havelock Road', 'short_name': 'Havelock Rd', 'types': ['route']}, {'long_name': 'Singapore River', 'short_name': 'Singapore River', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '059764', 'short_name': '059764', 'types': ['postal_code']}], 'formatted_address': '18 Havelock Rd, Singapore 059764', 'geometry': {'bounds': {'northeast': {'lat': 1.2878923, 'lng': 103.844888}, 'southwest': {'lat': 1.2871848, 'lng': 103.8437442}}, 'location': {'lat': 1.287552, 'lng': 103.8441793}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.288913230291502, 'lng': 103.8456650802915}, 'southwest': {'lat': 1.286215269708498, 'lng': 103.8429671197085}}}, 'place_id': 'ChIJ6UVNMHUZ2jERCaeCLpzbHas', 'types': ['premise']}]",1.287552,103.8441793
HOTEL ROYAL @ QUEENS,"12 QUEEN STREET, SINGAPORE 188553","[{'address_components': [{'long_name': '12', 'short_name': '12', 'types': ['street_number']}, {'long_name': 'Queen Street', 'short_name': 'Queen St', 'types': ['route']}, {'long_name': 'Rochor', 'short_name': 'Rochor', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '188553', 'short_name': '188553', 'types': ['postal_code']}], 'formatted_address': '12 Queen St, Singapore 188553', 'geometry': {'location': {'lat': 1.2976311, 'lng': 103.8522423}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.299069730291502, 'lng': 103.8535199302915}, 'southwest': {'lat': 1.296371769708498, 'lng': 103.8508219697085}}}, 'place_id': 'ChIJs2Wgx6QZ2jERTHH7aHNZr7Y', 'plus_code': {'compound_code': '7VX2+3V Singapore', 'global_code': '6PH57VX2+3V'}, 'types': ['street_address']}]",1.2976311,103.8522423
KECK SENG TOWER,"133 CECIL STREET, SINGAPORE 069535","[{'address_components': [{'long_name': '133', 'short_name': '133', 'types': ['street_number']}, {'long_name': 'Cecil Street', 'short_name': 'Cecil St', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '069535', 'short_name': '069535', 'types': ['postal_code']}], 'formatted_address': '133 Cecil St, Singapore 069535', 'geometry': {'bounds': {'northeast': {'lat': 1.280448, 'lng': 103.8491854}, 'southwest': {'lat': 1.2799137, 'lng': 103.8487261}}, 'location': {'lat': 1.2803224, 'lng': 103.8490244}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.281545080291502, 'lng': 103.8503047302915}, 'southwest': {'lat': 1.278847119708498, 'lng': 103.8476067697085}}}, 'place_id': 'ChIJTbO07A0Z2jER9xwEqrEep_M', 'types': ['premise']}]",1.2803224,103.8490244
ONE RAFFLES LINK,"1 RAFFLES LINK, SINGAPORE 039393","[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Raffles Link', 'short_name': 'Raffles Link', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '039393', 'short_name': '039393', 'types': ['postal_code']}], 'formatted_address': '1 Raffles Link, Singapore 039393', 'geometry': {'location': {'lat': 1.2920479, 'lng': 103.8558563}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.293448330291502, 'lng': 103.8573502302915}, 'southwest': {'lat': 1.290750369708498, 'lng': 103.8546522697085}}}, 'place_id': 'ChIJ7c4WZqYZ2jERXfU0FouYqTQ', 'plus_code': {'compound_code': '7VR4+R8 Singapore', 'global_code': '6PH57VR4+R8'}, 'types': ['street_address']}, {'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Raffles Link', 'short_name': 'Raffles Link', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '039393', 'short_name': '039393', 'types': ['postal_code']}], 'formatted_address': '1 Raffles Link, Singapore 039393', 'geometry': {'location': {'lat': 1.2925645, 'lng': 103.8562011}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.293934030291502, 'lng': 103.8576714802915}, 'southwest': {'lat': 1.291236069708498, 'lng': 103.8549735197085}}}, 'place_id': 'ChIJfe-eJaYZ2jERFROq75pvoqc', 'plus_code': {'compound_code': '7VV4+2F Singapore', 'global_code': '6PH57VV4+2F'}, 'types': ['establishment', 'point_of_interest']}]",1.2920479,103.8558563
THE CONCOURSE,"300 BEACH ROAD, SINGAPORE 199555","[{'address_components': [{'long_name': '300', 'short_name': '300', 'types': ['street_number']}, {'long_name': 'Beach Road', 'short_name': 'Beach Rd', 'types': ['route']}, {'long_name': 'Kallang', 'short_name': 'Kallang', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '199555', 'short_name': '199555', 'types': ['postal_code']}], 'formatted_address': '300 Beach Rd, Singapore 199555', 'geometry': {'location': {'lat': 1.301204, 'lng': 103.8626778}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.302327130291502, 'lng': 103.8638323302915}, 'southwest': {'lat': 1.299629169708498, 'lng': 103.8611343697085}}}, 'place_id': 'ChIJc8IC1rMZ2jERltrTMMHorUA', 'plus_code': {'compound_code': '8V27+F3 Singapore', 'global_code': '6PH58V27+F3'}, 'types': ['street_address']}]",1.301204,103.8626778
AIA TOWER,"1 ROBINSON ROAD, SINGAPORE 048542","[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Robinson Road', 'short_name': 'Robinson Rd', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '048542', 'short_name': '048542', 'types': ['postal_code']}], 'formatted_address': '1 Robinson Rd, Singapore 048542', 'geometry': {'bounds': {'northeast': {'lat': 1.2821761, 'lng': 103.8513471}, 'southwest': {'lat': 1.2817624, 'lng': 103.8509752}}, 'location': {'lat': 1.2819389, 'lng': 103.8511317}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.283310080291502, 'lng': 103.8525101302915}, 'southwest': {'lat': 1.280612119708498, 'lng': 103.8498121697085}}}, 'place_id': 'ChIJ02em4w0Z2jEReBLa9r7zIOQ', 'types': ['premise']}]",1.2819389,103.8511317
AIA ALEXANDRA,"371 ALEXANDRA ROAD, SINGAPORE 159963","[{'address_components': [{'long_name': '371', 'short_name': '371', 'types': ['street_number']}, {'long_name': 'Alexandra Road', 'short_name': 'Alexandra Rd', 'types': ['route']}, {'long_name': 'Bukit Merah', 'short_name': 'Bukit Merah', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '159963', 'short_name': '159963', 'types': ['postal_code']}], 'formatted_address': '371 Alexandra Rd, Singapore 159963', 'geometry': {'bounds': {'northeast': {'lat': 1.2849035, 'lng': 103.8028036}, 'southwest': {'lat': 1.2845865, 'lng': 103.8023575}}, 'location': {'lat': 1.2847439, 'lng': 103.8025809}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.286091080291502, 'lng': 103.8039295302915}, 'southwest': {'lat': 1.283393119708498, 'lng': 103.8012315697085}}}, 'place_id': 'ChIJNZgf38sb2jERNGUUSy4fzxc', 'types': ['premise']}]",1.2847439,103.8025809
HARBOURFRONT CENTRE,"1 MARITIME SQUARE, SINGAPORE 099253","[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Maritime Square', 'short_name': 'Maritime Square', 'types': ['route']}, {'long_name': 'Bukit Merah', 'short_name': 'Bukit Merah', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '099253', 'short_name': '099253', 'types': ['postal_code']}], 'formatted_address': '1 Maritime Square, Singapore 099253', 'geometry': {'location': {'lat': 1.2647313, 'lng': 103.8193854}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.266249380291502, 'lng': 103.8210047302915}, 'southwest': {'lat': 1.263551419708498, 'lng': 103.8183067697085}}}, 'place_id': 'ChIJbz0XQeIb2jERu7GcdRu1YU8', 'plus_code': {'compound_code': '7R79+VQ Singapore', 'global_code': '6PH57R79+VQ'}, 'types': ['street_address']}]",1.2647313,103.8193854
TAN CHONG TOWER,"15 QUEEN STREET, SINGAPORE 188537","[{'address_components': [{'long_name': '15', 'short_name': '15', 'types': ['street_number']}, {'long_name': 'Queen Street', 'short_name': 'Queen St', 'types': ['route']}, {'long_name': 'Rochor', 'short_name': 'Rochor', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '188537', 'short_name': '188537', 'types': ['postal_code']}], 'formatted_address': '15 Queen St, Singapore 188537', 'geometry': {'bounds': {'northeast': {'lat': 1.2981619, 'lng': 103.8527302}, 'southwest': {'lat': 1.2978345, 'lng': 103.8524305}}, 'location': {'lat': 1.298017, 'lng': 103.8525811}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.299347180291502, 'lng': 103.8539293302915}, 'southwest': {'lat': 1.296649219708498, 'lng': 103.8512313697085}}}, 'place_id': 'ChIJ_wD6zqQZ2jERbOKL1Qvyxto', 'types': ['premise']}]",1.298017,103.8525811
PUBLIC MANSIONS,"432 BALESTIER ROAD, SINGAPORE 329813","[{'address_components': [{'long_name': '432', 'short_name': '432', 'types': ['street_number']}, {'long_name': 'Balestier Road', 'short_name': 'Balestier Rd', 'types': ['route']}, {'long_name': 'Novena', 'short_name': 'Novena', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '329813', 'short_name': '329813', 'types': ['postal_code']}], 'formatted_address': '432 Balestier Rd, Singapore 329813', 'geometry': {'bounds': {'northeast': {'lat': 1.3267824, 'lng': 103.8489662}, 'southwest': {'lat': 1.3262068, 'lng': 103.8485466}}, 'location': {'lat': 1.3264729, 'lng': 103.8486713}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.327843580291502, 'lng': 103.8501053802915}, 'southwest': {'lat': 1.325145619708498, 'lng': 103.8474074197085}}}, 'place_id': 'ChIJ62M232EX2jERXH8fnB8E0iE', 'types': ['premise']}]",1.3264729,103.8486713
RAFFLES HOTEL,"1 BEACH ROAD, SINGAPORE 189673","[{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Beach Road', 'short_name': 'Beach Rd', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '189673', 'short_name': '189673', 'types': ['postal_code']}], 'formatted_address': '1 Beach Rd, Singapore 189673', 'geometry': {'bounds': {'northeast': {'lat': 1.2955678, 'lng': 103.8544879}, 'southwest': {'lat': 1.2954374, 'lng': 103.8543478}}, 'location': {'lat': 1.2954836, 'lng': 103.8544382}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.296448280291502, 'lng': 103.8559635802915}, 'southwest': {'lat': 1.293750319708498, 'lng': 103.8532656197085}}}, 'place_id': 'ChIJtaZzuqUZ2jER6q_tKs6C924', 'types': ['premise']}]",1.2954836,103.8544382
PIL BUILDING,"140 CECIL STREET, SINGAPORE 069540","[{'address_components': [{'long_name': '140', 'short_name': '140', 'types': ['street_number']}, {'long_name': 'Cecil Street', 'short_name': 'Cecil St', 'types': ['route']}, {'long_name': 'Downtown Core', 'short_name': 'Downtown Core', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '069540', 'short_name': '069540', 'types': ['postal_code']}], 'formatted_address': '140 Cecil St, Singapore 069540', 'geometry': {'bounds': {'northeast': {'lat': 1.2807589, 'lng': 103.8487401}, 'southwest': {'lat': 1.2802309, 'lng': 103.8482095}}, 'location': {'lat': 1.2805498, 'lng': 103.8484775}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.281843880291502, 'lng': 103.8498614302915}, 'southwest': {'lat': 1.279145919708498, 'lng': 103.8471634697085}}}, 'place_id': 'ChIJ08wamg0Z2jERoOW9U4SdHFU', 'types': ['premise']}]",1.2805498,103.8484775
CHINATOWN POINT,"133 NEW BRIDGE ROAD, SINGAPORE 059413","[{'address_components': [{'long_name': '133', 'short_name': '133', 'types': ['street_number']}, {'long_name': 'New Bridge Road', 'short_name': 'New Bridge Rd', 'types': ['route']}, {'long_name': 'Outram', 'short_name': 'Outram', 'types': ['neighborhood', 'political']}, {'long_name': 'Singapore', 'short_name': 'Singapore', 'types': ['locality', 'political']}, {'long_name': 'Singapore', 'short_name': 'SG', 'types': ['country', 'political']}, {'long_name': '059413', 'short_name': '059413', 'types': ['postal_code']}], 'formatted_address': '133 New Bridge Rd, Singapore 059413', 'geometry': {'bounds': {'northeast': {'lat': 1.2858623, 'lng': 103.8455378}, 'southwest': {'lat': 1.2845621, 'lng': 103.8442424}}, 'location': {'lat': 1.2852093, 'lng': 103.8447228}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 1.286561180291502, 'lng': 103.8462390802915}, 'southwest': {'lat': 1.283863219708498, 'lng': 103.8435411197085}}}, 'place_id': 'ChIJrXJD0AwZ2jERxRgd5SKCepo', 'types': ['premise']}]",1.2852093,103.8447228
